Deputado;perfil;link
rafael motta;@RafaelMottaRN;https://twitter.com/RafaelMottaRN
raul henry;@RaulHenry;https://twitter.com/RaulHenry
reginaldo lopes;@ReginaldoLopes;https://twitter.com/ReginaldoLopes
reinhold stephanes junior;@StephanesJr;https://twitter.com/StephanesJr
rejane dias;@rejane_dias;https://twitter.com/rejane_dias
renata abreu;@RenataAbreu1919;https://twitter.com/RenataAbreu1919
renildo calheiros;@renildo;https://twitter.com/renildo
ricardo barros;@RicardoBarrosPP;https://twitter.com/RicardoBarrosPP
ricardo izar;@RicardoIzar;https://twitter.com/RicardoIzar
ricardo teobaldo;@PSDBricardo45;https://twitter.com/PSDBricardo45
ricardo guidi;@ricardozguidi;https://twitter.com/ricardozguidi
roberto alves;@RobertoAlvesPRB;https://twitter.com/RobertoAlvesPRB
roberto de lucena;@robertodelucena;https://twitter.com/robertodelucena
roberto pessoa;@RobertoPessoaCE;https://twitter.com/RobertoPessoaCE
rodrigo agostinho;@rodrigoagost;https://twitter.com/rodrigoagost
rodrigo coelho;@coelho_rodrigo;https://twitter.com/coelho_rodrigo
rodrigo de castro;@RodrigoCastro45;https://twitter.com/RodrigoCastro45
rodrigo maia;@RodrigoMaia;https://twitter.com/RodrigoMaia
rogério correia;@RogerioCorreia_;https://twitter.com/RogerioCorreia_
santini;@dep_santini;https://twitter.com/dep_santini
ronaldo carletto;@ronaldocarletto;https://twitter.com/ronaldocarletto
professora rosa neide;@prof_rosaneide;https://twitter.com/prof_rosaneide
rosana valle;@DepRosanaValle;https://twitter.com/DepRosanaValle
rosangela gomes;@rosangelasgomes;https://twitter.com/rosangelasgomes
rose modesto;@rosemodestoms;https://twitter.com/rosemodestoms
rubens bueno;@23rubensbueno;https://twitter.com/23rubensbueno
rubens otoni;@RubensOtoni;https://twitter.com/RubensOtoni
rui falcão;@rfalcao13;https://twitter.com/rfalcao13
ruy carneiro;@depruycarneiro;https://twitter.com/depruycarneiro
sergio souza;@_sergiosouza;https://twitter.com/_sergiosouza
sergio toledo;@depsergiotoledo;https://twitter.com/depsergiotoledo
sâmia bomfim;@samiabomfim;https://twitter.com/samiabomfim
sóstenes cavalcante;@DepSostenes;https://twitter.com/DepSostenes
Samuel Moreira;@samuelmoreira;https://twitter.com/samuelmoreira
sanderson;@DepSanderson;https://twitter.com/DepSanderson
sargento fahur;@SargentoFAHUR;https://twitter.com/SargentoFAHUR
schiavinato;@Schiavinato_;https://twitter.com/Schiavinato_
sebastião oliveira;@SebaOliveirajr;https://twitter.com/SebaOliveirajr
sergio vidigal;@vidigalsergio;https://twitter.com/vidigalsergio
shéridan;@DepSheridan;https://twitter.com/DepSheridan
sidney leite;@sidneyleite_;https://twitter.com/sidneyleite_
silas câmara;@silascamara_;https://twitter.com/silascamara_
silvio costa filho;@Silvio_CFilho;https://twitter.com/Silvio_CFilho
soraya santos;@sorayasantos;https://twitter.com/sorayasantos
stefano aguiar;@depstefano;https://twitter.com/depstefano
subtenente gonzaga;@SubGonzagaMG;https://twitter.com/SubGonzagaMG
tabata amaral;@tabataamaralsp;https://twitter.com/tabataamaralsp
talíria petrone;@taliriapetrone;https://twitter.com/taliriapetrone
túlio gadêlha;@tuliogadelha;https://twitter.com/tuliogadelha
tiago dimas;@tiago_dimas;https://twitter.com/tiago_dimas
tiago mitraud;@TiagoMitraud;https://twitter.com/TiagoMitraud
tiririca;@tiriricanaweb;https://twitter.com/tiriricanaweb
toninho wandscheer;@deputadotoninho;https://twitter.com/deputadotoninho
vaidon oliveira;@VaidonOliveira;https://twitter.com/VaidonOliveira
valdevan noventa;@ValdevanNoventa;https://twitter.com/ValdevanNoventa
valmir assunção;@DepValmir;https://twitter.com/DepValmir
vander loubet;@vanderloubet;https://twitter.com/vanderloubet
vanderlei macris;@vanderleimacris;https://twitter.com/vanderleimacris
vavá martins;@vavamartinspa;https://twitter.com/vavamartinspa
tereza nelma;@TerezaNelma_;https://twitter.com/TerezaNelma_
vicentinho júnior;@vicentinhojr;https://twitter.com/vicentinhojr
vicentinho;@VICENTINHOPT;https://twitter.com/VICENTINHOPT
vinicius farah;@Vinicius_Farah;https://twitter.com/Vinicius_Farah
vinicius poit;@ViniciusPoit;https://twitter.com/ViniciusPoit
vitor hugo;@MajorVitorHugo;https://twitter.com/MajorVitorHugo
vitor lippi;@DepVitorLippi;https://twitter.com/DepVitorLippi
waldenor pereira;@waldenorpereira;https://twitter.com/waldenorpereira
walter alves;@walteralvesrn;https://twitter.com/walteralvesrn
weliton prado;@pradoweliton;https://twitter.com/pradoweliton
vilson da fetaemg;@wr22;https://twitter.com/wr22
wilson santiago;@WilsonSantiago_;https://twitter.com/WilsonSantiago_
wladimir garotinho;@WladGarotinho;https://twitter.com/WladGarotinho
wolney queiroz;@WolneyQueirozM;https://twitter.com/WolneyQueirozM
zé carlos;@Dep_ZeCarlosPT;https://twitter.com/Dep_ZeCarlosPT
jose mario schreiner;@ZeMarioGO;https://twitter.com/ZeMarioGO
zé neto;@depzeneto;https://twitter.com/depzeneto
zé silva;@ZeSilva_;https://twitter.com/ZeSilva_
zeca dirceu;@zeca_dirceu;https://twitter.com/zeca_dirceu
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
